Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity
Titus Sardine 125G,Sardine,TY00102,6111239500026,pcs,8.5,17.6471,10,,1,0,1,0,1,,-3
Abena Sardine,Sardine,TY00103,,pcs,2.163265306,8.9239,8.3,,1,0,1,0,1,,0
Pavani Sardine,Sardine,TY00104,,pcs,0,0,3.5,,1,0,1,0,0,,0
Moms,Sardine,TY00105,,pcs,0,0,4,,1,0,1,0,0,,0
Ginny Sardine,Sardine,TY00106,,pcs,0,0,8.5,,1,0,1,0,1,,0
Enapa Tuna Flakes 160G,Tuna Flakes\Chunks,TY00107,,pcs,14.5,6.8966,15.5,,1,0,1,0,1,,0
Enapa Tuna Chunks 160G,Tuna Flakes\Chunks,TY00108,,pcs,15.5,6.4516,16.5,,1,0,1,0,1,,0
Royal Atlantic Chunks 160G,Tuna Flakes\Chunks,TY00109,,pcs,16.5,6.0606,17.5,,1,0,1,0,1,,0
Royal Atlantic Flakes 160G,Tuna Flakes\Chunks,TY00110,,pcs,15.5,6.4516,16.5,,1,0,1,0,1,,0
Mom'S Recipe Ketchup 340G,Ketchup\Mayonnaise\Baked Beans,TY00111,,pcs,0,0,4.5,,1,0,1,0,0,,0
Alfa Ketchup 340G,Ketchup\Mayonnaise\Baked Beans,TY00112,6291003191091,pcs,8.75,14.2857,10,,1,0,1,0,1,,-11
Alfa Mayonaisse 900G,Ketchup\Mayonnaise\Baked Beans,TY00113,,pcs,0,0,15,,1,0,1,0,1,,0
Heinze Baked Beans 420G,Ketchup\Mayonnaise\Baked Beans,TY00114,,pcs,6,13.3333,6.8,,1,0,1,0,0,,0
Golden Country Bb 420G,Ketchup\Mayonnaise\Baked Beans,TY00115,,pcs,0,0,5.5,,1,0,1,0,0,,0
Vega Baked Beans 425G,Ketchup\Mayonnaise\Baked Beans,TY00116,,pcs,0,0,8,,1,0,1,0,1,,0
Rambo Beef Pate 425G,Ketchup\Mayonnaise\Baked Beans,TY00117,,pcs,0,0,12,,1,0,1,0,0,,0
Roch Spaghettie,Spaghetti,TY00118,,pcs,0,0,2.2,,1,0,1,0,1,,0
Moms Spaghetti,Spaghetti,TY00119,,pcs,0,0,3,,1,0,1,0,1,,0
Oba Spaghetti 450G,Spaghetti,TY00120,,pcs,3.69,143.9024,9,,1,0,1,0,0,,0
Gino Spaghetti,Spaghetti,TY00121,,pcs,0,0,3.5,,1,0,1,0,0,,0
Maman Macaroni,Spaghetti,TY00122,6181100093063,pcs,0,0,12,,1,0,1,0,1,,-6
Angelina Spaghetti 400G,Spaghetti,TY00123,8690946412900,pcs,6.25,12,7,,1,0,1,0,1,,-28
Combino Spaghetti,Spaghetti,TY00124,,pcs,0,0,8.5,,1,0,1,0,0,,0
Indomie Onion 70G,Indomie,TY00125,,pcs,0,0,1.70352,,1,0,1,0,0,,0
Indomie  70G,Indomie,TY00126,,pcs,0,0,75,,1,0,1,0,0,,0
Indomie 120G,Indomie,TY00127,,pcs,0,0,2.62288,,1,0,1,0,0,,0
Indomie 180G,Indomie,TY00128,,pcs,0,0,9.5,,1,0,1,0,0,,0
U2 Spice,Spices,TY00129,,pcs,0,0,0.8,,1,0,1,0,1,,0
Sugar Bag Morocco 50kg,Sugar,TY00130,,50kg,0,0,640,,1,0,1,0,1,,0
Gino Curry Powder 4g,Spices,TY00131,8410300366645,pcs,0.45,33.3333,0.6,,1,0,1,0,1,,-47
Unoli Margerine 1kg,Oil,TY00132,,1kg,0,0,5.5,,1,0,1,0,0,,0
Wâ†„Fa Chef Goat / Fish / Jollof,Spices,TY00133,,pcs,0,0,0.6,,1,0,1,0,1,,0
Remies Chicken Seasoning 10G,Spices,TY00134,6989546014556,pcs,0.48,0,1,,1,0,1,0,1,,-52
Remies Jollof 50G Seasoning Powder,Spices,TY00135,,pcs,0,0,4,,1,0,1,0,1,,0
Sankofa Spice Stew 5G,Spices,TY00136,,5g,0.561784387,0,0.8,,1,0,1,0,1,,-8
Bennies Chicken Powder,Spices,TY00137,6009633520002,pcs,0,0,1.5,,1,0,1,0,1,,-10
Onga Strip Blue,Spices,TY00138,6008155015317,pcs,0,0,1,,1,0,1,0,1,,-2
Onga Strips Small Red,Spices,TY00139,,pcs,0,0,1,,1,0,1,0,1,,-2
Egye Aware [rplc],Spices,TY00140,,pcs,0,0,0,,1,0,1,0,0,,0
Onga Beef Tablet (3Pcs),Spices,TY00141,,3pcs,1.6927,18.1544,2,,1,0,1,0,1,,-11
Onga Shrimp Tablet (3Pcs,Spices,TY00142,,3pcs,0,0,2,,1,0,1,0,1,,-41
Maggi  10G Tablet (3Pcs),Spices,TY00143,,3pcs,1.5104,32.4153,2,,1,0,1,0,1,,-4
Vinegar,Spices,TY00144,,,0,0,30,,1,0,1,0,0,,0
Coca Cola 2L,Beverages,TY00145,,2l,0,0,24,,1,0,1,0,0,,0
Coca Cola Cans 330Ml,Beverages,TY00146,5449000000996,330ml,0,0,7,,1,0,1,0,1,,0
