Product,Code,MeasurementUnit,Price,Cost,ProductGroup
Turkey Tips,TY00340,kg,40,32.41841004,Meat\Fish
Local Salmon,TY00342,kg,32,23.62453949,Meat\Fish
Boerewors Sausage,TY00205,kg,0,0,Meat\Fish
Hake [Ama],TY00206,kg,35,32,Meat\Fish
Special Rice 25kg,TY00207,25kg,350,335,Rice
Gino Pepper & Onion 60G,TY00208,sachet,2.2,0,Tomato Paste
Chanel Rice 4.5kgx5,TY00209,5x4.5kg,345,325,Rice
Chanel Rice 25kg,TY00210,25kg,342,322,Rice
Peacock Rice 5X5kg,TY00211,25kg,590,555,Rice
Viking 25Ltr Oil,TY00212,25l,460,0,Oil
Sugar Morocco  Olonka 3kg,TY00214,2kg,40,0,Sugar
Wofa Stew Spice,TY00215,pcs,0.6,0,Spices
Cindy Rice 5kg,TY00216,5kg,77,74,Rice
[rplc,TY00218,box,96,0,Indomie
Indomie Onion  Box,TY00251,box,96,0,Indomie
Indomie Super Full Box Small,TY00219,box,102,0,Indomie
Vega Tomato Paste Sachet,TY00220,sachet,3,0,Tomato Paste
Hot & Spicy Sausage,TY00221,1kg,20,0,Meat\Fish
Pig Head (Pork),TY00222,kg,35,0,Meat\Fish
Gino Tomato Tin 210G,TY00223,tin,7,0,Tomato Paste
Fortune Orange Rice 25kg,TY00224,25kg,375,0,Rice
Diora 5kgx5,TY00226,25kg,200,0,Rice
Diora Thai Rice 25kg,TY00225,25kg,200,0,Rice
Kontomire,TY00227,pcs,12,0,Spices
Oba Rice 22.5kg,TY00229,22.5kg,345,330,Rice
Oba Rice 4.5kg x5,TY00228,5x5,335,320,Rice
Red Fish Big,TY00230,1kg,45,0,Meat\Fish
Cindy Gold Rice 5kg,TY00231,5kg,75,70.9,Rice
Bella Rice Viet 22.5kg,TY00232,22.5kg,340,320,Rice
Ruby Margarine,TY00233,pcs,4.5,0,Oil
Viva Rice 5X4.5kg,TY00239,5x4.5kg,335,0,Rice
Viva 4.5kg Rice,TY00240,5kg,67,64,Rice
Starlite Rice 50kg,TY00546,50kg,310,0,Rice
Indomie 120G Box,TY00241,box,108,0,Indomie
Indomie 70G Box,TY00314,box,75,0,Indomie
Yellow Tail Big,TY00243,kg,34,0,Meat\Fish
Unoli Margarine 250G,TY00246,pcs,0,0,Oil
Enapa Mackerel Red Ho 425G,TY00245,pcs,16,13.46,Mackerel
Lyzy Tin Tomato 210G,TY00247,tin,6,0,Tomato Paste
Remie Beef Seasoning 10G,TY00248,pcs,1,0.7,Spices
Remies 10G Jollof,TY00249,pcs,1,0,Spices
Bennies Beef Powder,TY00252,pcs,1.5,0,Spices
Onga 64X12G Beef Tablet Box,TY00253,64x12g,32,0,Spices
Morocco Sugar Half Olonka,TY00254,64p,30,0,Sugar
Maggi 60X10G Shrimp Tablets Box,TY00255,60x10g,32,28.33,Spices
Coca Cola 30Cl Pack,TY00234,0.3lx12,56,53,Beverages
Schweppes Citrus 35Cl Pack,TY00235,0.35lx12,58,41.5,Beverages
Wofa Beef Spice 10G,TY00236,pcs,0.6,0,Spices
Oba Spaghetti 450G Box,TY00237,20x450g,158,0,Spaghetti
Royal Umbrella 5kg,TY00356,5kg,114,111,Rice
Bella 45kg,TY00256,45kg,640,620,Rice
Chanel Gold 5kg,TY00257,5kg,69,65,Rice
Indomie Super Pack Box,TY00349,box,240,228,Indomie
Indomie Hungryman Box,TY00350,box,220,205,Indomie
Pretty Lady 45kg,TY00258,45kg,640,630,Rice
Viking  Oil 25L,TY00336,25l,460,0,Oil
